StudentID,Age,Gender,StudyHours,Attendance,Midterm,Final,Project,Result
1,18,Male,2.5,80,6.5,7.0,7.5,Pass
2,19,Female,3.0,85,7.0,8.0,8.5,Pass
3,18,Female,1.5,60,5.0,5.5,6.0,Fail
4,20,Male,4.0,90,8.0,8.5,9.0,Pass
5,21,Male,2.0,70,6.0,6.5,6.0,Pass
6,19,Female,1.0,50,4.5,5.0,5.5,Fail
7,22,Male,3.5,88,7.5,8.0,8.0,Pass
8,20,Female,2.2,75,6.5,6.8,7.0,Pass
9,18,Male,1.8,65,5.5,6.0,6.2,Fail
10,21,Female,3.8,92,8.2,8.7,9.0,Pass
11,19,Male,2.7,78,6.8,7.2,7.5,Pass
12,20,Female,1.2,55,5.0,5.3,5.8,Fail
13,22,Male,4.5,95,8.5,9.0,9.5,Pass
14,18,Female,2.0,70,6.0,6.5,6.8,Pass
15,19,Male,1.5,60,5.2,5.8,6.0,Fail
16,21,Female,3.2,85,7.5,8.0,8.2,Pass
17,20,Male,2.3,72,6.2,6.8,7.0,Pass
18,22,Female,4.0,90,8.0,8.5,9.0,Pass
19,18,Male,1.0,50,4.0,4.5,5.0,Fail
20,21,Female,3.5,88,7.8,8.2,8.5,Pass